tar,exp,run,E,rho,mae,rmse,Jacobian
Dn,2,17,2,0.9054864155366826,0.29216334727747084,0.4144940355626856,0.8293796641886562
Pa,2,18,8,0.9491291970501238,0.22826732475260084,0.27869268346931486,-0.18023264340286854
Dn,2,18,2,0.9013769081982789,0.31784273290190335,0.4222196120402312,0.8458434198521783
Pa,2,19,8,0.9414296853965046,0.2150495605892779,0.3004009093465456,-0.14227507875035175
Dn,2,19,3,0.9038505372380102,0.3063288198558437,0.4136675337398503,0.7451808096547267
Pa,2,20,8,0.9543797848271154,0.19327354255090778,0.2631227659215346,-0.2128740642126554
Dn,2,20,3,0.9125329852453972,0.31289289668249304,0.3962121327085135,0.7640152329308939
Pa,2,21,8,0.9529392395832424,0.21189172912811652,0.26567555238533036,-0.20689248620788925
Dn,2,21,2,0.9125371317098651,0.3006303632832323,0.39882554408399296,0.8812694984952824
Pa,2,22,2,0.9221333039434653,0.2909734646537381,0.38172506434564807,-0.5637612280658272
Dn,2,22,3,0.9098335025703851,0.2895498266120095,0.40090832784320585,0.7196840844549305
Pa,2,23,8,0.9530991719361063,0.21388049261301906,0.26979971937144265,-0.2857083034219584
Dn,2,23,3,0.9206309898154775,0.2937031828944377,0.37789853745347807,0.7855515365764398
Pa,2,24,8,0.9531767561828426,0.20802985230503307,0.26489392481625323,-0.22051547819603287
Dn,2,24,3,0.8997743764579998,0.31768186013024646,0.4214142493297816,0.6973143543063275
Pa,2,25,8,0.9488004469257758,0.22605334134040136,0.2813249816315839,-0.22720743540720123
Dn,2,25,2,0.9043134412318551,0.31245401649555204,0.4174725296970166,0.8337107530357116
Pa,2,26,8,0.9509537124097555,0.2086904842833079,0.2668580382394995,-0.19215067876470976
Dn,2,26,3,0.9197416894327207,0.3109836805888308,0.3796220863667504,0.7947640184967306
Pa,2,27,9,0.9315576128434049,0.2317959525876615,0.3058875110710954,-0.12619311582393525
Dn,2,27,4,0.9135511357346087,0.2892316975074394,0.39040561118455647,0.686451808583274
Pa,2,28,3,0.9383924104549046,0.256043301867985,0.3349847474125666,-0.24014875559674906
Dn,2,28,3,0.9148656467093969,0.29982161836710836,0.39119837058301865,0.7590756520455865
Pa,2,29,3,0.9546395268283028,0.2244193288171754,0.28904011833527554,-0.22846705592825917
Dn,2,29,3,0.9074477489059478,0.3270887494570159,0.4076580656301643,0.8097370505471826
Pa,2,30,8,0.9452991481523726,0.2051083028333188,0.282175833960131,-0.2015846126433728
